Node Type,Property Name,Data Type,Is Primary Key,Requirement,Description,Source Dataset
Device,temperature,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Device,pressure,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Device,humidity,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Event,label,int64,True,Mandatory (NOT NULL),Primary unique identifier for Event node,Processed_IoT_dataset
Event,type,str,False,Mandatory (NOT NULL),Entity attribute representing type,Processed_IoT_dataset
Event,conn_state,str,False,Mandatory (NOT NULL),Entity attribute representing conn_state,Processed_Network_dataset
Event,weird_name,str,False,Mandatory (NOT NULL),Entity attribute representing weird_name,Processed_Network_dataset
Event,fridge_temperature,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Event,FC1_Read_Input_Register,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Event,FC2_Read_Discrete_Value,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Event,FC3_Read_Holding_Register,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Event,FC4_Read_Coil,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Event,current_temperature,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Event,temperature,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Event,pressure,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Event,humidity,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Event,CPUNR,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Linux_dataset
Event,CPU,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Linux_dataset
Event,duration,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Network_dataset
Event,src_bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Network_dataset
Event,dst_bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Network_dataset
Event,missed_bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Network_dataset
Event,Process_Pool_Paged Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_IO Read_Operations_sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_IO_Write Operations_sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_Page_File Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_Virtual_Bytes Peak,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_Page_File Bytes Peak,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_IO_Other_Bytes_sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_Private_Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_IO_Write_Bytes_sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_Virtual_Bytes,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_Pool Nonpaged Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_Thread Count,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_IO Data Bytes_sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process_IO Read Bytes_sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Network_I(Intel R _82574L_GNC) Bytes Received sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Network_I(Intel R _82574L_GNC) Bytes Sent sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Network_I(Intel R _82574L_GNC) Bytes Total sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Pool Paged Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Free & Zero Page List Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Cache Bytes Peak,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory System Code Resident Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Available Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Commit Limit,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Transition Pages RePurposed sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Pages Output sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Page Reads sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Available KBytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Pages sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Cache Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Pool Nonpaged Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory System Cache Resident Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Standby Cache Reserve Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Page Writes sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory System Code Total Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Standby Cache Core Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory System Driver Resident Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Standby Cache Normal Priority Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Pool Paged Allocs,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Pool Nonpaged Allocs,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory pct_ Committed Bytes In Use,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Available MBytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Modified Page List Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Committed Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory System Driver Total Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Pages Input sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Pool Paged Resident Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Memory Write Copies sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Avg  Disk Bytes Write,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Disk Reads sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) pct_ Free Space,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Disk Read Bytes sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Avg  Disk sec Read,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Disk Writes sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Current Disk Queue Length,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Split IO Sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Free Megabytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Avg  Disk sec Write,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Disk Bytes sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Avg  Disk Read Queue Length,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Avg  Disk Bytes Read,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Avg  Disk Write Queue Length,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Avg  Disk Queue Length,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Disk Write Bytes sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Disk Transfers sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Avg  Disk Bytes Transfer,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,LogicalDisk(_Total) Avg  Disk sec Transfer,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) Pool Paged Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) IO Read Operations sec,str,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) IO Write Operations sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) Page File Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) Virtual Bytes Peak,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) Page File Bytes Peak,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) IO Other Bytes sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) Private Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) IO Write Bytes sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) Virtual Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) Pool Nonpaged Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) Thread Count,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) IO Data Bytes sec,str,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Process(_Total) IO Read Bytes sec,str,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Network_I(6TO4 Adapter) Bytes Received sec,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Network_I(isatap{B4D100D3-}) Bytes Received sec,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Network_I(Intel R _Pro_1000MT) Bytes Received sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Network_I(6TO4 Adapter) Bytes Sent sec,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Network_I(isatap{B4D100D3-}) Bytes Sent sec,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Network_I(Intel R _Pro_1000MT) Bytes Sent sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Network_I(6TO4 Adapter) Bytes Total sec,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Network_I(isatap{B4D100D3-}) Bytes Total sec,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Event,Network_I(Intel R _Pro_1000MT) Bytes Total sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Free System Page Table Entries,int64,True,Mandatory (NOT NULL),Primary unique identifier for Host node,Processed_Windows_dataset
Host,Process_Pool_Paged Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_IO Read_Operations_sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_IO_Write Operations_sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_Page_File Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_Virtual_Bytes Peak,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_Page_File Bytes Peak,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_IO_Other_Bytes_sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_Private_Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_IO_Write_Bytes_sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_Virtual_Bytes,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_Pool Nonpaged Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_Thread Count,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_IO Data Bytes_sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Process_IO Read Bytes_sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Network_I(Intel R _82574L_GNC) Bytes Received sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Network_I(Intel R _82574L_GNC) Bytes Sent sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Network_I(Intel R _82574L_GNC) Bytes Total sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Pool Paged Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Free & Zero Page List Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Cache Bytes Peak,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory System Code Resident Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Available Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Commit Limit,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Transition Pages RePurposed sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Pages Output sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Page Reads sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Available KBytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Pages sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Cache Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Pool Nonpaged Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory System Cache Resident Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Standby Cache Reserve Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Page Writes sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory System Code Total Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Standby Cache Core Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory System Driver Resident Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Standby Cache Normal Priority Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Pool Paged Allocs,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Pool Nonpaged Allocs,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory pct_ Committed Bytes In Use,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Available MBytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Modified Page List Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Committed Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory System Driver Total Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Pages Input sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Pool Paged Resident Bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,Memory Write Copies sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Avg  Disk Bytes Write,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Disk Reads sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) pct_ Free Space,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Disk Read Bytes sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Avg  Disk sec Read,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Disk Writes sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Current Disk Queue Length,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Split IO Sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Free Megabytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Avg  Disk sec Write,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Disk Bytes sec,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Avg  Disk Read Queue Length,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Avg  Disk Bytes Read,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
Host,LogicalDisk(_Total) Avg  Disk Write Queue Length,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Windows_dataset
