Original Column,Source Dataset,Source File,Data Type,Mapped Classification,Mapped Entity / Relationship,Description
FC4_Read_Coil,Processed_IoT_dataset,IoT_Modbus.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
label,Processed_IoT_dataset,IoT_Modbus.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_IoT_dataset,IoT_Modbus.csv,str,Graph Entity,Event,Serves as primary node representation for Event
date,Processed_IoT_dataset,IoT_Motion_Light.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
time,Processed_IoT_dataset,IoT_Motion_Light.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
motion_status,Processed_IoT_dataset,IoT_Motion_Light.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
light_status,Processed_IoT_dataset,IoT_Motion_Light.csv,str,Graph Entity,Device,Serves as primary node representation for Device
label,Processed_IoT_dataset,IoT_Motion_Light.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_IoT_dataset,IoT_Motion_Light.csv,str,Graph Entity,Event,Serves as primary node representation for Event
date,Processed_IoT_dataset,IoT_Thermostat.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
time,Processed_IoT_dataset,IoT_Thermostat.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
current_temperature,Processed_IoT_dataset,IoT_Thermostat.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
thermostat_status,Processed_IoT_dataset,IoT_Thermostat.csv,int64,Graph Entity,Device,Serves as primary node representation for Device
label,Processed_IoT_dataset,IoT_Thermostat.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_IoT_dataset,IoT_Thermostat.csv,str,Graph Entity,Event,Serves as primary node representation for Event
date,Processed_IoT_dataset,IoT_Weather.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
time,Processed_IoT_dataset,IoT_Weather.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
temperature,Processed_IoT_dataset,IoT_Weather.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
pressure,Processed_IoT_dataset,IoT_Weather.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
humidity,Processed_IoT_dataset,IoT_Weather.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
label,Processed_IoT_dataset,IoT_Weather.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_IoT_dataset,IoT_Weather.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Linux_dataset,linux_disk_1.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
PID,Processed_Linux_dataset,linux_disk_1.csv,int64,Graph Entity,Process,Serves as primary node representation for Process
RDDSK,Processed_Linux_dataset,linux_disk_1.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
WRDSK,Processed_Linux_dataset,linux_disk_1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
WCANCL,Processed_Linux_dataset,linux_disk_1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
DSK,Processed_Linux_dataset,linux_disk_1.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
CMD,Processed_Linux_dataset,linux_disk_1.csv,str,Graph Entity,Process,Serves as primary node representation for Process
label,Processed_Linux_dataset,linux_disk_1.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Linux_dataset,linux_disk_1.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Linux_dataset,linux_disk_2.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
PID,Processed_Linux_dataset,linux_disk_2.csv,int64,Graph Entity,Process,Serves as primary node representation for Process
RDDSK,Processed_Linux_dataset,linux_disk_2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
WRDSK,Processed_Linux_dataset,linux_disk_2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
WCANCL,Processed_Linux_dataset,linux_disk_2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
DSK,Processed_Linux_dataset,linux_disk_2.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
CMD,Processed_Linux_dataset,linux_disk_2.csv,str,Graph Entity,Process,Serves as primary node representation for Process
label,Processed_Linux_dataset,linux_disk_2.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Linux_dataset,linux_disk_2.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Linux_dataset,linux_memory1.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
PID,Processed_Linux_dataset,linux_memory1.csv,int64,Graph Entity,Process,Serves as primary node representation for Process
MINFLT,Processed_Linux_dataset,linux_memory1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
MAJFLT,Processed_Linux_dataset,linux_memory1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
VSTEXT,Processed_Linux_dataset,linux_memory1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
VSIZE,Processed_Linux_dataset,linux_memory1.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
RSIZE,Processed_Linux_dataset,linux_memory1.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
VGROW,Processed_Linux_dataset,linux_memory1.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
RGROW,Processed_Linux_dataset,linux_memory1.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
MEM,Processed_Linux_dataset,linux_memory1.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
CMD,Processed_Linux_dataset,linux_memory1.csv,str,Graph Entity,Process,Serves as primary node representation for Process
label,Processed_Linux_dataset,linux_memory1.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Linux_dataset,linux_memory1.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Linux_dataset,linux_memory2.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
PID,Processed_Linux_dataset,linux_memory2.csv,int64,Graph Entity,Process,Serves as primary node representation for Process
MINFLT,Processed_Linux_dataset,linux_memory2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
MAJFLT,Processed_Linux_dataset,linux_memory2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
VSTEXT,Processed_Linux_dataset,linux_memory2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
VSIZE,Processed_Linux_dataset,linux_memory2.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
RSIZE,Processed_Linux_dataset,linux_memory2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
VGROW,Processed_Linux_dataset,linux_memory2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
RGROW,Processed_Linux_dataset,linux_memory2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
MEM,Processed_Linux_dataset,linux_memory2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
CMD,Processed_Linux_dataset,linux_memory2.csv,str,Graph Entity,Process,Serves as primary node representation for Process
label,Processed_Linux_dataset,linux_memory2.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Linux_dataset,linux_memory2.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Linux_dataset,Linux_process_1.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
PID,Processed_Linux_dataset,Linux_process_1.csv,int64,Graph Entity,Process,Serves as primary node representation for Process
TRUN,Processed_Linux_dataset,Linux_process_1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
TSLPI,Processed_Linux_dataset,Linux_process_1.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
TSLPU,Processed_Linux_dataset,Linux_process_1.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
POLI,Processed_Linux_dataset,Linux_process_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
NICE,Processed_Linux_dataset,Linux_process_1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
PRI,Processed_Linux_dataset,Linux_process_1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
RTPR,Processed_Linux_dataset,Linux_process_1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
CPUNR,Processed_Linux_dataset,Linux_process_1.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Status,Processed_Linux_dataset,Linux_process_1.csv,str,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
EXC,Processed_Linux_dataset,Linux_process_1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
State,Processed_Linux_dataset,Linux_process_1.csv,str,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
CPU,Processed_Linux_dataset,Linux_process_1.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
CMD,Processed_Linux_dataset,Linux_process_1.csv,str,Graph Entity,Process,Serves as primary node representation for Process
label,Processed_Linux_dataset,Linux_process_1.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Linux_dataset,Linux_process_1.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Linux_dataset,Linux_process_2.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
PID,Processed_Linux_dataset,Linux_process_2.csv,int64,Graph Entity,Process,Serves as primary node representation for Process
TRUN,Processed_Linux_dataset,Linux_process_2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
TSLPI,Processed_Linux_dataset,Linux_process_2.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
TSLPU,Processed_Linux_dataset,Linux_process_2.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
POLI,Processed_Linux_dataset,Linux_process_2.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
NICE,Processed_Linux_dataset,Linux_process_2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
PRI,Processed_Linux_dataset,Linux_process_2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
RTPR,Processed_Linux_dataset,Linux_process_2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
CPUNR,Processed_Linux_dataset,Linux_process_2.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Status,Processed_Linux_dataset,Linux_process_2.csv,str,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
EXC,Processed_Linux_dataset,Linux_process_2.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
State,Processed_Linux_dataset,Linux_process_2.csv,str,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
CPU,Processed_Linux_dataset,Linux_process_2.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
CMD,Processed_Linux_dataset,Linux_process_2.csv,str,Graph Entity,Process,Serves as primary node representation for Process
label,Processed_Linux_dataset,Linux_process_2.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Linux_dataset,Linux_process_2.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Network_dataset,Network_dataset_1.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Source IP,Serves as primary node representation for Source IP
src_port,Processed_Network_dataset,Network_dataset_1.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
dst_ip,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dst_port,Processed_Network_dataset,Network_dataset_1.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
proto,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Protocol,Serves as primary node representation for Protocol
service,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Service,Serves as primary node representation for Service
duration,Processed_Network_dataset,Network_dataset_1.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_bytes,Processed_Network_dataset,Network_dataset_1.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
dst_bytes,Processed_Network_dataset,Network_dataset_1.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
conn_state,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Event,Serves as primary node representation for Event
missed_bytes,Processed_Network_dataset,Network_dataset_1.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_pkts,Processed_Network_dataset,Network_dataset_1.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip_bytes,Processed_Network_dataset,Network_dataset_1.csv,int64,Graph Entity,Source IP,Serves as primary node representation for Source IP
dst_pkts,Processed_Network_dataset,Network_dataset_1.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dst_ip_bytes,Processed_Network_dataset,Network_dataset_1.csv,int64,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dns_query,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_qclass,Processed_Network_dataset,Network_dataset_1.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_qtype,Processed_Network_dataset,Network_dataset_1.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_rcode,Processed_Network_dataset,Network_dataset_1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_AA,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RD,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RA,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_rejected,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_version,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_cipher,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_resumed,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_established,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_subject,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_issuer,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_trans_depth,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_method,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_uri,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_referrer,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_version,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_request_body_len,Processed_Network_dataset,Network_dataset_1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_response_body_len,Processed_Network_dataset,Network_dataset_1.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_status_code,Processed_Network_dataset,Network_dataset_1.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
http_user_agent,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,User,Serves as primary node representation for User
http_orig_mime_types,Processed_Network_dataset,Network_dataset_1.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
http_resp_mime_types,Processed_Network_dataset,Network_dataset_1.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
weird_name,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Event,Serves as primary node representation for Event
weird_addl,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
weird_notice,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
label,Processed_Network_dataset,Network_dataset_1.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Network_dataset,Network_dataset_10.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,Source IP,Serves as primary node representation for Source IP
src_port,Processed_Network_dataset,Network_dataset_10.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
dst_ip,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dst_port,Processed_Network_dataset,Network_dataset_10.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
proto,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,Protocol,Serves as primary node representation for Protocol
service,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,Service,Serves as primary node representation for Service
duration,Processed_Network_dataset,Network_dataset_10.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_bytes,Processed_Network_dataset,Network_dataset_10.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
dst_bytes,Processed_Network_dataset,Network_dataset_10.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
conn_state,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,Event,Serves as primary node representation for Event
missed_bytes,Processed_Network_dataset,Network_dataset_10.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_pkts,Processed_Network_dataset,Network_dataset_10.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip_bytes,Processed_Network_dataset,Network_dataset_10.csv,int64,Graph Entity,Source IP,Serves as primary node representation for Source IP
dst_pkts,Processed_Network_dataset,Network_dataset_10.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dst_ip_bytes,Processed_Network_dataset,Network_dataset_10.csv,int64,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dns_query,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_qclass,Processed_Network_dataset,Network_dataset_10.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_qtype,Processed_Network_dataset,Network_dataset_10.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_rcode,Processed_Network_dataset,Network_dataset_10.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_AA,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RD,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RA,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_rejected,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_version,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_cipher,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_resumed,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_established,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_subject,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_issuer,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_trans_depth,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_method,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_uri,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_referrer,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_version,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_request_body_len,Processed_Network_dataset,Network_dataset_10.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_response_body_len,Processed_Network_dataset,Network_dataset_10.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_status_code,Processed_Network_dataset,Network_dataset_10.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
http_user_agent,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,User,Serves as primary node representation for User
http_orig_mime_types,Processed_Network_dataset,Network_dataset_10.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
http_resp_mime_types,Processed_Network_dataset,Network_dataset_10.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
weird_name,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,Event,Serves as primary node representation for Event
weird_addl,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
weird_notice,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
label,Processed_Network_dataset,Network_dataset_10.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Network_dataset,Network_dataset_11.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip,Processed_Network_dataset,Network_dataset_11.csv,str,Graph Entity,Source IP,Serves as primary node representation for Source IP
