Original Column,Source Dataset,Source File,Data Type,Baseline Role,Stage 02 Role,Provenance Status,Recovery Rationale
FC1_Read_Input_Register,Processed_IoT_dataset,IoT_Modbus.csv,int64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
FC2_Read_Discrete_Value,Processed_IoT_dataset,IoT_Modbus.csv,int64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
FC3_Read_Holding_Register,Processed_IoT_dataset,IoT_Modbus.csv,int64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
FC4_Read_Coil,Processed_IoT_dataset,IoT_Modbus.csv,int64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
label,Processed_IoT_dataset,IoT_Modbus.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_IoT_dataset,IoT_Modbus.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
date,Processed_IoT_dataset,IoT_Motion_Light.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
time,Processed_IoT_dataset,IoT_Motion_Light.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
motion_status,Processed_IoT_dataset,IoT_Motion_Light.csv,int64,Relationship Attribute,Relationship Attribute,OBSERVED,Maintained from Baseline V1 mapping
light_status,Processed_IoT_dataset,IoT_Motion_Light.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
label,Processed_IoT_dataset,IoT_Motion_Light.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_IoT_dataset,IoT_Motion_Light.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
date,Processed_IoT_dataset,IoT_Thermostat.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
time,Processed_IoT_dataset,IoT_Thermostat.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
current_temperature,Processed_IoT_dataset,IoT_Thermostat.csv,float64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
thermostat_status,Processed_IoT_dataset,IoT_Thermostat.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
label,Processed_IoT_dataset,IoT_Thermostat.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_IoT_dataset,IoT_Thermostat.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
date,Processed_IoT_dataset,IoT_Weather.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
time,Processed_IoT_dataset,IoT_Weather.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
temperature,Processed_IoT_dataset,IoT_Weather.csv,float64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
pressure,Processed_IoT_dataset,IoT_Weather.csv,float64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
humidity,Processed_IoT_dataset,IoT_Weather.csv,float64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
label,Processed_IoT_dataset,IoT_Weather.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_IoT_dataset,IoT_Weather.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
ts,Processed_Linux_dataset,linux_disk_1.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
PID,Processed_Linux_dataset,linux_disk_1.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
RDDSK,Processed_Linux_dataset,linux_disk_1.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
WRDSK,Processed_Linux_dataset,linux_disk_1.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
WCANCL,Processed_Linux_dataset,linux_disk_1.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
DSK,Processed_Linux_dataset,linux_disk_1.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,Recovered as numerical telemetry performance metric
CMD,Processed_Linux_dataset,linux_disk_1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
label,Processed_Linux_dataset,linux_disk_1.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_Linux_dataset,linux_disk_1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
ts,Processed_Linux_dataset,linux_disk_2.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
PID,Processed_Linux_dataset,linux_disk_2.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
RDDSK,Processed_Linux_dataset,linux_disk_2.csv,int64,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
WRDSK,Processed_Linux_dataset,linux_disk_2.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
WCANCL,Processed_Linux_dataset,linux_disk_2.csv,int64,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
DSK,Processed_Linux_dataset,linux_disk_2.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,Recovered as numerical telemetry performance metric
CMD,Processed_Linux_dataset,linux_disk_2.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
label,Processed_Linux_dataset,linux_disk_2.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_Linux_dataset,linux_disk_2.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
ts,Processed_Linux_dataset,linux_memory1.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
PID,Processed_Linux_dataset,linux_memory1.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
MINFLT,Processed_Linux_dataset,linux_memory1.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
MAJFLT,Processed_Linux_dataset,linux_memory1.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
VSTEXT,Processed_Linux_dataset,linux_memory1.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
VSIZE,Processed_Linux_dataset,linux_memory1.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
RSIZE,Processed_Linux_dataset,linux_memory1.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
VGROW,Processed_Linux_dataset,linux_memory1.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
RGROW,Processed_Linux_dataset,linux_memory1.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
MEM,Processed_Linux_dataset,linux_memory1.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
CMD,Processed_Linux_dataset,linux_memory1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
label,Processed_Linux_dataset,linux_memory1.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_Linux_dataset,linux_memory1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
ts,Processed_Linux_dataset,linux_memory2.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
PID,Processed_Linux_dataset,linux_memory2.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
MINFLT,Processed_Linux_dataset,linux_memory2.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
MAJFLT,Processed_Linux_dataset,linux_memory2.csv,int64,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
VSTEXT,Processed_Linux_dataset,linux_memory2.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
VSIZE,Processed_Linux_dataset,linux_memory2.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
RSIZE,Processed_Linux_dataset,linux_memory2.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
VGROW,Processed_Linux_dataset,linux_memory2.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
RGROW,Processed_Linux_dataset,linux_memory2.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
MEM,Processed_Linux_dataset,linux_memory2.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
CMD,Processed_Linux_dataset,linux_memory2.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
label,Processed_Linux_dataset,linux_memory2.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_Linux_dataset,linux_memory2.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
ts,Processed_Linux_dataset,Linux_process_1.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
PID,Processed_Linux_dataset,Linux_process_1.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
TRUN,Processed_Linux_dataset,Linux_process_1.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,Recovered as numerical telemetry performance metric
TSLPI,Processed_Linux_dataset,Linux_process_1.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
TSLPU,Processed_Linux_dataset,Linux_process_1.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
POLI,Processed_Linux_dataset,Linux_process_1.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
NICE,Processed_Linux_dataset,Linux_process_1.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,Recovered as numerical telemetry performance metric
PRI,Processed_Linux_dataset,Linux_process_1.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,Recovered as numerical telemetry performance metric
RTPR,Processed_Linux_dataset,Linux_process_1.csv,int64,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
CPUNR,Processed_Linux_dataset,Linux_process_1.csv,int64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
Status,Processed_Linux_dataset,Linux_process_1.csv,str,Relationship Attribute,Relationship Attribute,OBSERVED,Maintained from Baseline V1 mapping
EXC,Processed_Linux_dataset,Linux_process_1.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,Recovered as numerical telemetry performance metric
State,Processed_Linux_dataset,Linux_process_1.csv,str,Relationship Attribute,Relationship Attribute,OBSERVED,Maintained from Baseline V1 mapping
CPU,Processed_Linux_dataset,Linux_process_1.csv,float64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
CMD,Processed_Linux_dataset,Linux_process_1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
label,Processed_Linux_dataset,Linux_process_1.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_Linux_dataset,Linux_process_1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
ts,Processed_Linux_dataset,Linux_process_2.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
PID,Processed_Linux_dataset,Linux_process_2.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
TRUN,Processed_Linux_dataset,Linux_process_2.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,Recovered as numerical telemetry performance metric
TSLPI,Processed_Linux_dataset,Linux_process_2.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
TSLPU,Processed_Linux_dataset,Linux_process_2.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
POLI,Processed_Linux_dataset,Linux_process_2.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
NICE,Processed_Linux_dataset,Linux_process_2.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,Recovered as numerical telemetry performance metric
PRI,Processed_Linux_dataset,Linux_process_2.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,Recovered as numerical telemetry performance metric
RTPR,Processed_Linux_dataset,Linux_process_2.csv,int64,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
CPUNR,Processed_Linux_dataset,Linux_process_2.csv,int64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
Status,Processed_Linux_dataset,Linux_process_2.csv,str,Relationship Attribute,Relationship Attribute,OBSERVED,Maintained from Baseline V1 mapping
EXC,Processed_Linux_dataset,Linux_process_2.csv,int64,Ignored Attribute,Graph Node Property,OBSERVED,Recovered as numerical telemetry performance metric
State,Processed_Linux_dataset,Linux_process_2.csv,str,Relationship Attribute,Relationship Attribute,OBSERVED,Maintained from Baseline V1 mapping
CPU,Processed_Linux_dataset,Linux_process_2.csv,float64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
CMD,Processed_Linux_dataset,Linux_process_2.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
label,Processed_Linux_dataset,Linux_process_2.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_Linux_dataset,Linux_process_2.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
ts,Processed_Network_dataset,Network_dataset_1.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
src_ip,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
src_port,Processed_Network_dataset,Network_dataset_1.csv,int64,Relationship Attribute,Relationship Attribute,OBSERVED,Maintained from Baseline V1 mapping
dst_ip,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
dst_port,Processed_Network_dataset,Network_dataset_1.csv,int64,Relationship Attribute,Relationship Attribute,OBSERVED,Maintained from Baseline V1 mapping
proto,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
service,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
duration,Processed_Network_dataset,Network_dataset_1.csv,float64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
src_bytes,Processed_Network_dataset,Network_dataset_1.csv,int64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
dst_bytes,Processed_Network_dataset,Network_dataset_1.csv,int64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
conn_state,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
missed_bytes,Processed_Network_dataset,Network_dataset_1.csv,int64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
src_pkts,Processed_Network_dataset,Network_dataset_1.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
src_ip_bytes,Processed_Network_dataset,Network_dataset_1.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
dst_pkts,Processed_Network_dataset,Network_dataset_1.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
dst_ip_bytes,Processed_Network_dataset,Network_dataset_1.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
dns_query,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
dns_qclass,Processed_Network_dataset,Network_dataset_1.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
dns_qtype,Processed_Network_dataset,Network_dataset_1.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
dns_rcode,Processed_Network_dataset,Network_dataset_1.csv,int64,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
dns_AA,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
dns_RD,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
dns_RA,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
dns_rejected,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
ssl_version,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
ssl_cipher,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Graph Entity,OBSERVED,Recovered as secondary identifier or hardware node key
ssl_resumed,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
ssl_established,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
ssl_subject,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
ssl_issuer,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
http_trans_depth,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
http_method,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
http_uri,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
http_referrer,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
http_version,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
http_request_body_len,Processed_Network_dataset,Network_dataset_1.csv,int64,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
http_response_body_len,Processed_Network_dataset,Network_dataset_1.csv,int64,Ignored Attribute,Relationship Property,OBSERVED,Recovered as dynamic network interaction telemetry / flow metric for directed communication edge
http_status_code,Processed_Network_dataset,Network_dataset_1.csv,int64,Relationship Attribute,Relationship Attribute,OBSERVED,Maintained from Baseline V1 mapping
http_user_agent,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
http_orig_mime_types,Processed_Network_dataset,Network_dataset_1.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
http_resp_mime_types,Processed_Network_dataset,Network_dataset_1.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
weird_name,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
weird_addl,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
weird_notice,Processed_Network_dataset,Network_dataset_1.csv,str,Ignored Attribute,Metadata Attribute,OBSERVED,Recovered as telemetry sequence index or record metadata
label,Processed_Network_dataset,Network_dataset_1.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_Network_dataset,Network_dataset_1.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
ts,Processed_Network_dataset,Network_dataset_10.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
src_ip,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
src_port,Processed_Network_dataset,Network_dataset_10.csv,int64,Relationship Attribute,Relationship Attribute,OBSERVED,Maintained from Baseline V1 mapping
dst_ip,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
dst_port,Processed_Network_dataset,Network_dataset_10.csv,int64,Relationship Attribute,Relationship Attribute,OBSERVED,Maintained from Baseline V1 mapping
proto,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
service,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
duration,Processed_Network_dataset,Network_dataset_10.csv,float64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
src_bytes,Processed_Network_dataset,Network_dataset_10.csv,int64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
dst_bytes,Processed_Network_dataset,Network_dataset_10.csv,int64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
conn_state,Processed_Network_dataset,Network_dataset_10.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
missed_bytes,Processed_Network_dataset,Network_dataset_10.csv,int64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
src_pkts,Processed_Network_dataset,Network_dataset_10.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
src_ip_bytes,Processed_Network_dataset,Network_dataset_10.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
dst_pkts,Processed_Network_dataset,Network_dataset_10.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
dst_ip_bytes,Processed_Network_dataset,Network_dataset_10.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
dns_query,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
dns_qclass,Processed_Network_dataset,Network_dataset_10.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
dns_qtype,Processed_Network_dataset,Network_dataset_10.csv,int64,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
dns_rcode,Processed_Network_dataset,Network_dataset_10.csv,int64,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
dns_AA,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
dns_RD,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
dns_RA,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
dns_rejected,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Context Attribute,OBSERVED,Recovered as operational contextual attribute
ssl_version,Processed_Network_dataset,Network_dataset_10.csv,str,Ignored Attribute,Truly Ignored,OBSERVED,Constant or single-value uninformative attribute across file rows
