sequence_id,dataset_source,sequence_length,start_timestamp,end_timestamp,sequence_duration_seconds,start_node_id,end_node_id,event_chain
SEQ_PRO_0011,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000185,TND_PRO_000196,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0012,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000197,TND_PRO_000208,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0013,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000209,TND_PRO_000220,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0014,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000221,TND_PRO_000232,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0015,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000233,TND_PRO_000244,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0016,Processed_IoT_dataset,12,31-Mar-19,1-Apr-19,0.0,TND_PRO_000245,TND_PRO_000256,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0017,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000257,TND_PRO_000268,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0018,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000269,TND_PRO_000280,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0019,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000281,TND_PRO_000292,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0020,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000293,TND_PRO_000304,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0021,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000305,TND_PRO_000316,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0022,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000317,TND_PRO_000328,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0023,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000329,TND_PRO_000340,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0024,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000341,TND_PRO_000352,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0025,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000353,TND_PRO_000364,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0026,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000365,TND_PRO_000376,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0027,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000377,TND_PRO_000388,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0028,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000389,TND_PRO_000400,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0029,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000401,TND_PRO_000412,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0030,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000413,TND_PRO_000424,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0031,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000425,TND_PRO_000436,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0032,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000437,TND_PRO_000448,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0033,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000449,TND_PRO_000460,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0034,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000461,TND_PRO_000472,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0035,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000473,TND_PRO_000484,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0036,Processed_IoT_dataset,12,1-Apr-19,1-Apr-19,0.0,TND_PRO_000485,TND_PRO_000496,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0037,Processed_IoT_dataset,12,1-Apr-19,31-Mar-19,0.0,TND_PRO_000497,TND_PRO_000508,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0038,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000509,TND_PRO_000520,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0039,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000521,TND_PRO_000532,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0040,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000533,TND_PRO_000544,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0041,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000545,TND_PRO_000556,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0042,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000557,TND_PRO_000568,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0043,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000569,TND_PRO_000580,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0044,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000581,TND_PRO_000592,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0045,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000593,TND_PRO_000604,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0046,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000605,TND_PRO_000616,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0047,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000617,TND_PRO_000628,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0048,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000629,TND_PRO_000640,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0049,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000641,TND_PRO_000652,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0050,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000653,TND_PRO_000664,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0051,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000665,TND_PRO_000676,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0052,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000677,TND_PRO_000688,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0053,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000689,TND_PRO_000700,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0054,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000701,TND_PRO_000712,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
SEQ_PRO_0055,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000713,TND_PRO_000724,Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0) -> (+0 ms) -> Event (0)
