unique_id,node_type,original_dataset,properties,timestamp
TND_PRO_000022,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:04   "", ""fridge_temperature"": ""5.25"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000023,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:04   "", ""fridge_temperature"": ""3.15"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000024,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:04   "", ""fridge_temperature"": ""13.1"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000025,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:05   "", ""fridge_temperature"": ""1.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000026,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:05   "", ""fridge_temperature"": ""12.5"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000027,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:05   "", ""fridge_temperature"": ""13.55"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000028,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:06   "", ""fridge_temperature"": ""6.7"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000029,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:06   "", ""fridge_temperature"": ""5.8"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000030,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:06   "", ""fridge_temperature"": ""6.8"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000031,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:07   "", ""fridge_temperature"": ""2.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000032,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:07   "", ""fridge_temperature"": ""8.95"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000033,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:07   "", ""fridge_temperature"": ""10.25"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000034,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:07   "", ""fridge_temperature"": ""5.15"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000035,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:08   "", ""fridge_temperature"": ""4.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000036,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:08   "", ""fridge_temperature"": ""6.8"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000037,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:08   "", ""fridge_temperature"": ""3.75"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000038,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:08   "", ""fridge_temperature"": ""13.25"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000039,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:09   "", ""fridge_temperature"": ""12.85"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000040,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:09   "", ""fridge_temperature"": ""7.7"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000041,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:09   "", ""fridge_temperature"": ""2.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000042,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:09   "", ""fridge_temperature"": ""7.55"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000043,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:10   "", ""fridge_temperature"": ""8.95"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000044,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:10   "", ""fridge_temperature"": ""4.2"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000045,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:10   "", ""fridge_temperature"": ""5.45"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000046,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:10   "", ""fridge_temperature"": ""1.75"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000047,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:11   "", ""fridge_temperature"": ""11.8"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000048,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:11   "", ""fridge_temperature"": ""12.5"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000049,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:11   "", ""fridge_temperature"": ""3.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000050,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:11   "", ""fridge_temperature"": ""5.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000051,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:12   "", ""fridge_temperature"": ""7.1"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000052,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:12   "", ""fridge_temperature"": ""10.25"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000053,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:12   "", ""fridge_temperature"": ""3.45"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000054,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:12   "", ""fridge_temperature"": ""2.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000055,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:12   "", ""fridge_temperature"": ""11.95"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000056,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:13   "", ""fridge_temperature"": ""12.7"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000057,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:13   "", ""fridge_temperature"": ""4.75"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000058,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:13   "", ""fridge_temperature"": ""4.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000059,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:13   "", ""fridge_temperature"": ""4.3"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000060,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:13   "", ""fridge_temperature"": ""1.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000061,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:14   "", ""fridge_temperature"": ""4.95"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000062,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:14   "", ""fridge_temperature"": ""4.75"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000063,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:14   "", ""fridge_temperature"": ""1.75"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000064,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:14   "", ""fridge_temperature"": ""4.8"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000065,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:14   "", ""fridge_temperature"": ""1.45"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000066,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:15   "", ""fridge_temperature"": ""4.8"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000067,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:15   "", ""fridge_temperature"": ""7.55"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000068,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:15   "", ""fridge_temperature"": ""11.65"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000069,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:15   "", ""fridge_temperature"": ""8.55"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000070,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:15   "", ""fridge_temperature"": ""12.4"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000071,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:16   "", ""fridge_temperature"": ""2.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000072,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:16   "", ""fridge_temperature"": ""12.25"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000073,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:16   "", ""fridge_temperature"": ""8.95"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000074,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:16   "", ""fridge_temperature"": ""7.65"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000075,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:16   "", ""fridge_temperature"": ""7.0"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000076,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:17   "", ""fridge_temperature"": ""11.8"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000077,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:17   "", ""fridge_temperature"": ""10.0"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000078,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:17   "", ""fridge_temperature"": ""6.55"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000079,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:17   "", ""fridge_temperature"": ""6.35"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000080,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:17   "", ""fridge_temperature"": ""7.85"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000081,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:17   "", ""fridge_temperature"": ""3.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000082,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:18   "", ""fridge_temperature"": ""1.9"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000083,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:18   "", ""fridge_temperature"": ""6.85"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000084,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:18   "", ""fridge_temperature"": ""1.9"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000085,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:18   "", ""fridge_temperature"": ""6.5"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000086,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:18   "", ""fridge_temperature"": ""2.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000087,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:18   "", ""fridge_temperature"": ""10.85"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000088,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:19   "", ""fridge_temperature"": ""12.85"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000089,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:19   "", ""fridge_temperature"": ""10.7"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000090,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:19   "", ""fridge_temperature"": ""9.5"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000091,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:19   "", ""fridge_temperature"": ""9.8"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000092,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:19   "", ""fridge_temperature"": ""4.5"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000093,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:19   "", ""fridge_temperature"": ""11.5"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000094,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:20   "", ""fridge_temperature"": ""8.95"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000095,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:20   "", ""fridge_temperature"": ""9.85"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000096,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:20   "", ""fridge_temperature"": ""5.75"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000097,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:20   "", ""fridge_temperature"": ""7.5"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000098,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:20   "", ""fridge_temperature"": ""5.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000099,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:20   "", ""fridge_temperature"": ""8.85"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000100,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:21   "", ""fridge_temperature"": ""2.3"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000101,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:21   "", ""fridge_temperature"": ""6.5"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000102,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:21   "", ""fridge_temperature"": ""5.85"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000103,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:21   "", ""fridge_temperature"": ""6.25"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000104,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:21   "", ""fridge_temperature"": ""1.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000105,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:21   "", ""fridge_temperature"": ""14.0"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000106,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:22   "", ""fridge_temperature"": ""9.55"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000107,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:22   "", ""fridge_temperature"": ""7.85"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000108,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:22   "", ""fridge_temperature"": ""2.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000109,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:22   "", ""fridge_temperature"": ""5.3"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000110,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:22   "", ""fridge_temperature"": ""3.15"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000111,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:22   "", ""fridge_temperature"": ""3.3"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000112,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:22   "", ""fridge_temperature"": ""13.25"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000113,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:23   "", ""fridge_temperature"": ""6.95"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000114,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:23   "", ""fridge_temperature"": ""4.2"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000115,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:23   "", ""fridge_temperature"": ""12.8"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000116,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:23   "", ""fridge_temperature"": ""12.5"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
