Node ID,Node Type,Original Dataset,Degree Centrality,In-Degree Centrality,Out-Degree Centrality,PageRank Score,Betweenness Centrality,Graph Importance Rank,Industrial IIoT Significance
TND_PRO_001778,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,23,Key Communication Endpoint
TND_PRO_001779,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,24,Key Communication Endpoint
TND_PRO_001780,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000109,0.000537,25,Key Communication Endpoint
TND_PRO_001781,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000102,0.000537,26,Key Communication Endpoint
TND_PRO_001782,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000104,0.000537,27,Key Communication Endpoint
TND_PRO_001783,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,28,Key Communication Endpoint
TND_PRO_001784,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.00011,0.000537,29,Key Communication Endpoint
TND_PRO_001785,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.00012,0.000537,30,Key Communication Endpoint
TND_PRO_001786,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000121,0.000537,31,Telemetry Participant
TND_PRO_001787,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000103,0.000537,32,Telemetry Participant
TND_PRO_001788,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000103,0.000537,33,Telemetry Participant
TND_PRO_001789,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000104,0.000537,34,Telemetry Participant
TND_PRO_001794,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000114,0.000537,35,Telemetry Participant
TND_PRO_001795,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000119,0.000537,36,Telemetry Participant
TND_PRO_001796,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000103,0.000537,37,Telemetry Participant
TND_PRO_001797,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000103,0.000537,38,Telemetry Participant
TND_PRO_001798,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,39,Telemetry Participant
TND_PRO_001799,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,40,Telemetry Participant
TND_PRO_001800,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.00011,0.000537,41,Telemetry Participant
TND_PRO_001801,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000119,0.000537,42,Telemetry Participant
TND_PRO_001802,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,43,Telemetry Participant
TND_PRO_001803,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000103,0.000537,44,Telemetry Participant
TND_PRO_001804,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,45,Telemetry Participant
TND_PRO_001805,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,46,Telemetry Participant
TND_PRO_001806,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000122,0.000537,47,Telemetry Participant
TND_PRO_001807,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,48,Telemetry Participant
TND_PRO_001808,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.00011,0.000537,49,Telemetry Participant
TND_PRO_001809,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,50,Telemetry Participant
TND_PRO_001810,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,51,Telemetry Participant
TND_PRO_001813,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000101,0.000537,52,Telemetry Participant
TND_PRO_001814,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000109,0.000537,53,Telemetry Participant
TND_PRO_001815,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,54,Telemetry Participant
TND_PRO_001818,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000101,0.000537,55,Telemetry Participant
TND_PRO_001819,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,56,Telemetry Participant
TND_PRO_001820,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,57,Telemetry Participant
TND_PRO_001821,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,58,Telemetry Participant
TND_PRO_001822,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,59,Telemetry Participant
TND_PRO_001825,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000102,0.000537,60,Telemetry Participant
TND_PRO_001832,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.0001,0.000537,61,Telemetry Participant
TND_PRO_001833,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,62,Telemetry Participant
TND_PRO_001838,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,9.9e-05,0.000537,63,Telemetry Participant
TND_PRO_001839,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.00011,0.000537,64,Telemetry Participant
TND_PRO_001842,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000102,0.000537,65,Telemetry Participant
TND_PRO_001845,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.0001,0.000537,66,Telemetry Participant
TND_PRO_001846,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000109,0.000537,67,Telemetry Participant
TND_PRO_001849,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.0001,0.000537,68,Telemetry Participant
TND_PRO_001850,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000103,0.000537,69,Telemetry Participant
TND_PRO_001853,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000101,0.000537,70,Telemetry Participant
TND_PRO_001854,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000109,0.000537,71,Telemetry Participant
TND_PRO_001859,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.0001,0.000537,72,Telemetry Participant
TND_PRO_001860,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000104,0.000537,73,Telemetry Participant
TND_PRO_001861,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,74,Telemetry Participant
TND_PRO_001862,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,75,Telemetry Participant
TND_PRO_001865,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,76,Telemetry Participant
TND_PRO_001868,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.0001,0.000537,77,Telemetry Participant
TND_PRO_001869,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000104,0.000537,78,Telemetry Participant
TND_PRO_001870,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.00011,0.000537,79,Telemetry Participant
TND_PRO_001871,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000103,0.000537,80,Telemetry Participant
TND_PRO_001872,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000121,0.000537,81,Telemetry Participant
TND_PRO_001873,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,82,Telemetry Participant
TND_PRO_001874,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000104,0.000537,83,Telemetry Participant
TND_PRO_001875,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,84,Telemetry Participant
TND_PRO_001876,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,85,Telemetry Participant
TND_PRO_001877,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,86,Telemetry Participant
TND_PRO_001878,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.00011,0.000537,87,Telemetry Participant
TND_PRO_001879,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000119,0.000537,88,Telemetry Participant
TND_PRO_001880,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,89,Telemetry Participant
TND_PRO_001881,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000103,0.000537,90,Telemetry Participant
TND_PRO_001886,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000101,0.000537,91,Telemetry Participant
TND_PRO_001887,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000121,0.000537,92,Telemetry Participant
TND_PRO_001890,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000116,0.000537,93,Telemetry Participant
TND_PRO_001891,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000121,0.000537,94,Telemetry Participant
TND_PRO_001892,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,95,Telemetry Participant
TND_PRO_001893,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000108,0.000537,96,Telemetry Participant
TND_PRO_001894,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000118,0.000537,97,Telemetry Participant
TND_PRO_001895,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000107,0.000537,98,Telemetry Participant
TND_PRO_001896,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000104,0.000537,99,Telemetry Participant
TND_PRO_001897,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000104,0.000537,100,Telemetry Participant
