edge_id,source_node,destination_node,relationship_type,temporal_ordering,relationship_properties,timestamp,confidence,dataset_source
EDG_100010,TND_PRO_000011,TND_PRO_000511,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 11, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 11, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100011,TND_PRO_000012,TND_PRO_000512,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 12, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 12, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100012,TND_PRO_000013,TND_PRO_000513,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 13, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 13, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100013,TND_PRO_000014,TND_PRO_000514,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 14, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 14, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100014,TND_PRO_000015,TND_PRO_000515,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 15, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 15, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100015,TND_PRO_000016,TND_PRO_000516,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 16, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 16, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100016,TND_PRO_000017,TND_PRO_000517,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 17, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 17, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100017,TND_PRO_000018,TND_PRO_000518,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 18, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 18, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100018,TND_PRO_000019,TND_PRO_000519,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 19, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 19, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100019,TND_PRO_000020,TND_PRO_000520,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 20, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 20, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100020,TND_PRO_000021,TND_PRO_000521,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 21, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 21, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100021,TND_PRO_000022,TND_PRO_000522,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 22, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 22, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100022,TND_PRO_000023,TND_PRO_000523,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 23, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 23, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100023,TND_PRO_000024,TND_PRO_000524,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 24, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 24, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100024,TND_PRO_000025,TND_PRO_000525,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 25, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 25, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100025,TND_PRO_000026,TND_PRO_000526,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 26, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 26, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100026,TND_PRO_000027,TND_PRO_000527,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 27, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 27, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100027,TND_PRO_000028,TND_PRO_000528,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 28, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 28, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100028,TND_PRO_000029,TND_PRO_000529,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 29, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 29, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100029,TND_PRO_000030,TND_PRO_000530,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 30, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 30, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100030,TND_PRO_000031,TND_PRO_000531,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 31, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 31, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100031,TND_PRO_000032,TND_PRO_000532,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 32, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 32, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100032,TND_PRO_000033,TND_PRO_000533,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 33, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 33, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100033,TND_PRO_000034,TND_PRO_000534,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 34, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 34, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100034,TND_PRO_000035,TND_PRO_000535,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 35, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 35, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100035,TND_PRO_000036,TND_PRO_000536,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 36, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 36, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100036,TND_PRO_000037,TND_PRO_000537,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 37, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 37, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100037,TND_PRO_000038,TND_PRO_000538,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 38, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 38, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100038,TND_PRO_000039,TND_PRO_000539,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 39, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 39, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100039,TND_PRO_000040,TND_PRO_000540,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 40, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 40, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100040,TND_PRO_000041,TND_PRO_000541,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 41, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 41, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100041,TND_PRO_000042,TND_PRO_000542,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 42, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 42, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100042,TND_PRO_000043,TND_PRO_000543,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 43, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 43, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100043,TND_PRO_000044,TND_PRO_000544,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 44, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 44, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100044,TND_PRO_000045,TND_PRO_000545,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 45, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 45, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100045,TND_PRO_000046,TND_PRO_000546,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 46, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 46, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100046,TND_PRO_000047,TND_PRO_000547,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 47, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 47, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100047,TND_PRO_000048,TND_PRO_000548,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 48, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 48, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100048,TND_PRO_000049,TND_PRO_000549,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 49, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 49, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100049,TND_PRO_000050,TND_PRO_000550,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 50, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 50, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100050,TND_PRO_000051,TND_PRO_000551,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 51, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 51, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100051,TND_PRO_000052,TND_PRO_000552,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 52, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 52, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100052,TND_PRO_000053,TND_PRO_000553,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 53, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 53, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100053,TND_PRO_000054,TND_PRO_000554,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 54, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 54, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100054,TND_PRO_000055,TND_PRO_000555,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 55, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 55, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100055,TND_PRO_000056,TND_PRO_000556,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 56, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 56, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100056,TND_PRO_000057,TND_PRO_000557,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 57, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 57, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100057,TND_PRO_000058,TND_PRO_000558,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 58, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 58, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100058,TND_PRO_000059,TND_PRO_000559,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 59, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 59, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100059,TND_PRO_000060,TND_PRO_000560,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 60, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 60, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100060,TND_PRO_000061,TND_PRO_000561,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 61, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 61, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100061,TND_PRO_000062,TND_PRO_000562,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 62, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 62, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100062,TND_PRO_000063,TND_PRO_000563,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 63, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 63, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100063,TND_PRO_000064,TND_PRO_000564,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 64, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 64, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100064,TND_PRO_000065,TND_PRO_000565,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 65, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 65, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100065,TND_PRO_000066,TND_PRO_000566,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 66, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 66, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100066,TND_PRO_000067,TND_PRO_000567,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 67, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 67, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100067,TND_PRO_000068,TND_PRO_000568,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 68, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 68, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100068,TND_PRO_000069,TND_PRO_000569,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 69, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 69, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
